assay_id,uniprot_id,taxon,source_organism,first_author,year,title,selection_type,selection_assay,binarization_method,single_variant_count,deleterious_count,functional_count,deleterious_fraction,source_includes_multiple_mutants,unique_score_eve_ensemble,unique_score_esm1v_single,unique_score_esm1v_ensemble,unique_score_esm2_650m,assays_for_uniprot,assays_from_publication
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Eukaryote,Saccharomyces cerevisiae,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,947,434,513,0.4582893347412883,True,947,947,947,947,1,20
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Human,Homo sapiens,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1149,494,655,0.4299390774586597,True,1149,1149,1149,1149,1,20
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,Human,Homo sapiens,Erwood,2022,Saturation variant interpretation using CRISPR prime editing,Activity,Fluorescence measurement,manual,637,396,241,0.6216640502354788,False,636,637,637,637,2,3
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN,Human,Homo sapiens,Erwood,2022,Saturation variant interpretation using CRISPR prime editing,Activity,Fluorescence measurement,manual,63,30,33,0.47619047619047616,False,63,63,63,63,2,3
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Human,Homo sapiens,Suiter,2020,Massively parallel variant characterization identifies NUDT15 alleles associated with thiopurine toxicity,Expression,,manual,2844,940,1904,0.33052039381153303,False,2844,2844,2844,2844,1,1
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,Prokaryote,Mycobacterium tuberculosis,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1019,593,426,0.5819430814524044,True,1019,1019,1019,1019,1,20
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Human,Homo sapiens,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1213,477,736,0.393239901071723,True,1213,1213,1213,1213,1,20
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Human,Homo sapiens,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,635,200,435,0.31496062992125984,False,635,635,635,635,1,20
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,Eukaryote,Rhodotorula gracilis,Vanella,2023,Understanding Activity-Stability Tradeoffs in Biocatalysts by Enzyme Proximity Sequencing,Activity,fluorescent label of enzyme product,manual,6396,281,6115,0.04393370856785491,False,6385,6395,6396,6395,2,2
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Eukaryote,Rhodotorula gracilis,Vanella,2023,Understanding Activity-Stability Tradeoffs in Biocatalysts by Enzyme Proximity Sequencing,Expression,cell surface expression,manual,6769,1329,5440,0.19633623873541142,False,6755,6768,6769,6767,2,2
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,Human,Homo sapiens,Giacomelli,2018,Mutational processes shape the landscape of TP53 mutations in human cancer,OrganismalFitness,"drug resistance (nutlin-3, etoposide)",manual,7467,1866,5601,0.24989955805544395,False,7445,7465,7467,7467,3,2
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,Human,Homo sapiens,Giacomelli,2018,Mutational processes shape the landscape of TP53 mutations in human cancer,OrganismalFitness,"drug resistance (nutlin-3, etoposide)",manual,7467,1392,6075,0.1864202490960225,False,7445,7465,7467,7465,3,2
P53_HUMAN_Kotler_2018,P53_HUMAN,Human,Homo sapiens,Kotler,2018,A Systematic p53 Mutation Library Links Differential Functional Impact to Cancer Mutation Pattern and Evolutionary Conservation,OrganismalFitness,growth,manual,1048,427,621,0.4074427480916031,False,1048,1048,1048,1048,3,1
P84126_THETH_Chan_2017,P84126_THETH,Prokaryote,Thermus thermophilus,Chan,2017,Correlation of fitness landscapes from three orthologous TIM barrels originates from sequence and structure constraints,OrganismalFitness,fitness,manual,1519,837,682,0.5510204081632653,False,1519,1519,1519,1519,1,3
PABP_YEAST_Melamed_2013,PABP_YEAST,Eukaryote,Saccharomyces cerevisiae,Melamed,2013,Deep mutational scanning of an RRM domain of the Saccharomyces cerevisiae poly(A)-binding protein,OrganismalFitness,"Growth (essential function), RNA binding",manual,1187,279,908,0.2350463352990733,True,1187,1187,1187,1187,1,1
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Human,Homo sapiens,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1301,343,958,0.26364335126825517,False,1301,1301,1301,1301,1,20
POLG_HCVJF_Qi_2014,POLG_HCVJF,Virus,Hepatitis C virus genotype 2a (isolate JFH-1) (HCV),Qi,2014,A Quantitative High-Resolution Genetic Profile Rapidly Identifies Sequence Determinants of Hepatitis C Viral Fitness and Drug Sensitivity,OrganismalFitness,Viral replication,manual,1630,912,718,0.5595092024539877,False,1629,1630,1630,1630,1,1
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Virus,Porcine enteric sapovirus (isolate Swine/United States/Cowden/1980),Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,995,254,741,0.2552763819095477,True,995,995,995,995,1,20
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Human,Homo sapiens,Majithia,2016,Prospective functional classification of all possible missense variants in PPARG,Activity,Expression of CD36,manual,9576,2059,7517,0.21501670843776108,False,9488,9575,9576,9574,1,1
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,Human,Homo sapiens,Clausen,2023,A mutational atlas for Parkin proteostasis,Expression,protein stability,manual,8756,3328,5428,0.3800822293284605,False,8711,8756,8756,8754,1,1
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,Prokaryote,Picosynechococcus,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1219,299,920,0.24528301886792453,True,1219,1219,1219,1219,1,20
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,Human,Homo sapiens,Mighell,2018,A Saturation Mutagenesis Approach to Understanding PTEN Lipid Phosphatase Activity and Genotype-Phenotype Relationships,Activity,"growth (surrogate for enzymatic activity/hydrolysis of lipid phosphates to restore PIP2, which affects proliferation rate)",manual,7260,1881,5379,0.2590909090909091,False,7237,7258,7259,7259,1,1
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,Virus,Human immunodeficiency virus 1,Haddox,2018,Mapping mutational effects along the evolutionary landscape of HIV envelope,OrganismalFitness,Viral replication,manual,12729,6709,6020,0.5270641841464373,False,12669,12724,12729,12724,1,2
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Prokaryote,Streptomyces sp,Romero,2015,Dissecting enzyme function with microfluidic-based deep mutational scanning,Activity,Enzyme function,manual,2999,1024,1975,0.3414471490496832,False,2993,2999,2999,2998,1,1
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Eukaryote,Aequorea macrodactyla,Somermeyer,2022,Heterogeneity of the GFP fitness landscape and data-driven protein design,Activity,Fluorescence,manual,1201,215,986,0.17901748542880933,True,1201,1201,1201,1201,1,2
R1AB_SARS2_Flynn_2022,R1AB_SARS2,Virus,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),Flynn,2022,Comprehensive fitness landscape of SARS-CoV-2 Mpro reveals insights into viral resistance mechanisms,OrganismalFitness,"FRET, Growth",manual,5725,1966,3759,0.3434061135371179,False,5715,5723,5724,5723,1,1
RASH_HUMAN_Bandaru_2017,RASH_HUMAN,Human,Homo sapiens,Bandaru,2017,Deconstruction of the Ras switching cycle through saturation mutagenesis,Activity,C-Raf binding and GEF,manual,3134,955,2179,0.30472239948947033,False,3131,3133,3134,3134,1,1
RDRP_I33A0_Li_2023,RDRP_I33A0,Virus,Influenza A virus (strain A/Wilson-Smith/1933 H1N1),Li,2023,Deep mutational scanning reveals the functional constraints and evolutionary potential of the influenza A virus PB1 protein,OrganismalFitness,Viral Replication,manual,12003,8785,3218,0.7319003582437724,False,11862,11995,12003,11998,1,1
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,Prokaryote,Aquifex aeolicus,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1121,235,886,0.2096342551293488,True,1120,1121,1121,1121,1,20
RL40A_YEAST_Mavor_2016,RL40A_YEAST,Eukaryote,Saccharomyces cerevisiae,Mavor,2016,Determination of ubiquitin fitness landscapes under different chemical stresses in a classroom setting,OrganismalFitness,Growth,manual,1253,393,860,0.3136472466081405,False,1253,1253,1253,1253,3,1
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,Eukaryote,Saccharomyces cerevisiae,Roscoe,2013,Analyses of the Effects of All Ubiquitin Point Mutants on Yeast Growth Rate,OrganismalFitness,Growth (essential function),manual,1195,437,758,0.36569037656903763,False,1195,1195,1195,1195,3,1
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Eukaryote,Saccharomyces cerevisiae,Roscoe,2014,"Systematic Exploration of Ubiquitin Sequence, E1 Activation Efficiency, and Experimental Fitness in Yeast",Activity,E1 reactivity,manual,1380,352,1028,0.25507246376811593,False,1380,1380,1380,1380,3,1
RPC1_LAMBD_Li_2019_high-expression,RPC1_LAMBD,Virus,Escherichia phage lambda (Bacteriophage lambda),Li,2019,Changes in gene expression predictably shift and switch genetic interactions,Activity,Repressor activity (FACS sorting for expression of GFP reporter),manual,351,106,245,0.301994301994302,False,351,351,351,351,1,1
S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,Human,Homo sapiens,Yee,2023,The full spectrum of OCT1 (SLC22A1) mutations bridges transporter biophysics to drug pharmacogenomics,Expression,abundance,manual,9803,3627,6176,0.36998877894522086,False,9753,9802,9803,9802,2,2
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Human,Homo sapiens,Yee,2023,The full spectrum of OCT1 (SLC22A1) mutations bridges transporter biophysics to drug pharmacogenomics,Activity,uptake of cytotoxic substrate,manual,10094,2673,7421,0.2648107786804042,False,10049,10093,10093,10093,2,2
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Prokaryote,Bacillus subtilis,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,834,219,615,0.26258992805755393,True,834,834,834,834,1,20
SPG1_STRSG_Olson_2014,SPG1_STRSG,Prokaryote,Streptococcus sp. group G,Olson,2014,A comprehensive biophysical description of pairwise epistasis throughout an entire protein domain,Binding,Binding (IgG),manual,1045,131,914,0.12535885167464114,True,1009,1045,1045,1045,1,1
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,Virus,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),Starr,2020,Deep Mutational Scanning of SARS-CoV-2 Receptor Binding Domain Reveals Constraints on Folding and ACE2 Binding,Binding,ACE2 binding,manual,3802,1674,2128,0.4402945817990531,False,3789,3802,3802,3802,2,2
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,Virus,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),Starr,2020,Deep Mutational Scanning of SARS-CoV-2 Receptor Binding Domain Reveals Constraints on Folding and ACE2 Binding,Expression,ACE2 binding,manual,3798,1671,2127,0.4399684044233807,False,3797,3798,3798,3798,2,2
SRC_HUMAN_Ahler_2019,SRC_HUMAN,Human,Homo sapiens,Ahler,2019,"A Combined Approach Reveals a Regulatory Mechanism Coupling Src's Kinase Activity, Localization, and Phosphotransferase-Independent Functions",Activity,growth (surrogate for phosphorylation activity),manual,3372,1125,2247,0.33362989323843417,False,3369,3372,3372,3372,1,1
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,Human,Homo sapiens,Weile,2017,A framework for exhaustively mapping functional missense variants,OrganismalFitness,Yeast growth,manual,1700,650,1050,0.38235294117647056,False,1700,1700,1700,1700,1,2
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,Human,Homo sapiens,Newberry,2020,Robust Sequence Determinants of α-Synuclein Toxicity in Yeast Implicate Membrane Binding,OrganismalFitness,Growth,manual,2497,567,1930,0.22707248698438126,False,2497,2497,2497,2495,1,1
TAT_HV1BR_Fernandes_2016,TAT_HV1BR,Virus,Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1),Fernandes,2016,Functional Segregation of Overlapping Genes in HIV,OrganismalFitness,Viral replication,manual,1577,500,1077,0.31705770450221943,False,1577,1577,1577,1577,1,1
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,Eukaryote,Mus musculus,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,621,164,457,0.2640901771336554,True,621,621,621,621,1,20
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,Eukaryote,Saccharomyces cerevisiae,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,656,252,404,0.38414634146341464,True,656,656,656,656,1,20
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,Human,Homo sapiens,Weile,2017,A framework for exhaustively mapping functional missense variants,OrganismalFitness,Yeast growth,manual,3181,1927,1254,0.6057843445457404,False,3178,3181,3180,3179,1,2
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,Human,Homo sapiens,Matreyek,2018,Multiplex Assessment of Protein Variant Abundance by Massively Parallel Sequencing,Expression,Protein abundance (FACS sorting for abundance of GFP-fused target),manual,3648,708,2940,0.19407894736842105,False,3645,3648,3648,3647,1,1
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,Human,Homo sapiens,Bridgford,2020,Novel drivers and modifiers of MPL-dependent oncogenic transformation identified by deep mutational scanning,OrganismalFitness,growth/survival (surrogate for TpoR/MPL enhanced constitutive activation),manual,562,436,126,0.7758007117437722,False,562,562,562,562,1,1
TRPC_SACS2_Chan_2017,TRPC_SACS2,Prokaryote,Thermus thermophilus,Chan,2017,Correlation of fitness landscapes from three orthologous TIM barrels originates from sequence and structure constraints,OrganismalFitness,fitness,manual,1519,917,602,0.6036866359447005,False,1517,1519,1519,1519,1,3
TRPC_THEMA_Chan_2017,TRPC_THEMA,Prokaryote,Thermus thermophilus,Chan,2017,Correlation of fitness landscapes from three orthologous TIM barrels originates from sequence and structure constraints,OrganismalFitness,fitness,manual,1519,1091,428,0.7182356813693219,False,1518,1518,1519,1519,1,3
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,Human,Homo sapiens,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1118,542,576,0.4847942754919499,True,1118,1118,1118,1117,1,20
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,Eukaryote,Mus musculus,Starita,2013,Activity-enhancing mutations in an E3 ubiquitin ligase identified by high-throughput mutagenesis,Activity,Ligase activity (phage display),manual,899,145,754,0.16129032258064516,False,898,899,899,899,1,1
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,Eukaryote,Gallus gallus,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1202,548,654,0.4559068219633943,True,1202,1202,1202,1202,1,20
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,Human,Homo sapiens,Chiasson,2020,"Multiplexed measurement of variant abundance and activity reveals VKOR topology, active site and human variant impact",Activity,carboxylation activity (carboxylation reporter on cell surface),manual,697,254,443,0.36441893830703015,False,697,697,697,697,1,1
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Virus,Escherichia phage T7 (Bacteriophage T7),Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1047,321,726,0.30659025787965616,False,1047,1047,1047,1047,1,20
YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,Prokaryote,Bacillus subtilis,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,714,179,535,0.2507002801120448,True,714,714,714,714,1,20
