comparison,comparison_label,assay_id,uniprot_id,selection_type,retained_cnap_difference,limiting_deleterious_prevalence,reverse_retained_cnap_difference,deleterious_count,functional_count
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,Stability,-0.013373187481143411,0.01,-0.06081147290056266,299,920
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,Activity,-0.024704604936056085,0.28868704934219663,-0.010173470180599803,1881,5379
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,OrganismalFitness,0.0009911337817528898,0.01,-0.0347912274977365,6709,6020
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Activity,-0.10073417569406407,0.35136238585894386,0.01895048734889858,1024,1975
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Activity,-0.5748323258703348,0.9,0.0789482115294889,215,986
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,R1AB_SARS2_Flynn_2022,R1AB_SARS2,OrganismalFitness,-0.7447400275069962,0.9,0.04855020837506299,1966,3759
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,Activity,-0.12929971739753565,0.20990945458245058,0.03543014047222255,955,2179
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,RDRP_I33A0_Li_2023,RDRP_I33A0,OrganismalFitness,-0.44094687962978224,0.9,0.016850130536127925,8785,3218
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,Stability,0.020840629313129848,0.01,-0.1760975628506578,235,886
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,RL40A_YEAST_Mavor_2016,RL40A_YEAST,OrganismalFitness,-0.04645665968832868,0.9,0.0006688099988025956,393,860
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,RL40A_YEAST_Roscoe_2013,RL40A_YEAST,OrganismalFitness,-0.10570446725386001,0.4867466604816159,0.045847167447269375,437,758
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Activity,-0.16169461896004317,0.7091620276101279,0.011482570409189265,352,1028
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,RPC1_LAMBD_Li_2019_high-expression,RPC1_LAMBD,Activity,0.10633904323246005,0.01,-0.18367367770711018,106,245
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,Expression,0.038006935536984886,0.01,-0.1101644029046498,3627,6176
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Activity,0.06401399447365341,0.01,-0.15293363126002274,2673,7421
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Stability,-0.0936630046633522,0.6353598875194265,0.00847886472103132,219,615
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,SPG1_STRSG_Olson_2014,SPG1_STRSG,Binding,-0.01447742952659201,0.01,-0.0260285565306273,131,914
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,Binding,-0.490568334126641,0.9,0.011564896923426509,1674,2128
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,Expression,-0.5734497109701143,0.9,0.021192635260888635,1671,2127
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,SRC_HUMAN_Ahler_2019,SRC_HUMAN,Activity,0.10563125779966331,0.9,-0.19798449966300147,1125,2247
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,OrganismalFitness,0.025663377140663045,0.01,-0.07002959963217908,650,1050
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,OrganismalFitness,0.07263715373533373,0.01,-0.21330384801844576,567,1930
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,TAT_HV1BR_Fernandes_2016,TAT_HV1BR,OrganismalFitness,0.0144822232239066,0.01,-0.12176131106652166,500,1077
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,Stability,0.06688209724285749,0.01,-0.31868614875492807,164,457
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,Stability,0.006415904858271136,0.01,-0.22567408027077357,252,404
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,TPK1_HUMAN_Weile_2017,TPK1_HUMAN,OrganismalFitness,0.004169473187544804,0.01,-0.10097511012143628,1927,1254
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,Expression,0.007099518463322893,0.01,-0.06364894510371572,708,2940
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,OrganismalFitness,0.2866494566759648,0.9,-0.3628606090047669,436,126
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,TRPC_SACS2_Chan_2017,TRPC_SACS2,OrganismalFitness,0.07665359466539579,0.9,-0.19547640235963412,917,602
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,TRPC_THEMA_Chan_2017,TRPC_THEMA,OrganismalFitness,0.0669700183908419,0.01,-0.1335958394559904,1091,428
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,Stability,0.1649543352441914,0.01,-0.24254960590626673,542,576
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,Activity,0.053947627613452176,0.9,-0.17341156637793922,145,754
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,Stability,0.010854476921639225,0.01,-0.07207329976596244,548,654
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,Activity,0.018722431177845236,0.01,-0.04608603772445091,254,443
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Stability,0.11189218878986067,0.01,-0.6030162496903136,321,726
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,Stability,0.07703969668098049,0.01,-0.33558140365091255,179,535
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,OrganismalFitness,-0.485866224356838,0.9,0.019490054961400768,6982,5595
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,OrganismalFitness,0.056909768898992796,0.9,-0.11925182741671464,2189,2815
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,A4_HUMAN_Seuma_2022,A4_HUMAN,Stability,0.009512580318923533,0.01,-0.14681452851210636,223,573
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Activity,-0.09135117076671584,0.9,-0.04959132013893336,174,35
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,OrganismalFitness,-0.06544889239845869,0.02141841580489861,-0.059432810725572605,474,1363
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,OrganismalFitness,0.26661050519863966,0.01,-0.9270250796885284,23,242
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,OrganismalFitness,-0.011565266642312722,0.9,0.00013567069944432283,217,315
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,OrganismalFitness,-0.008576896790562536,0.01,-0.044406495537475665,2062,312
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,OrganismalFitness,0.018975825725747728,0.01,-0.040973705893074974,1275,1120
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,OrganismalFitness,0.021655452226006303,0.01,-0.0642623194085088,325,1338
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,Binding,-0.023674702433734762,0.9,-0.007181381846409998,2992,769
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Stability,-0.31455809416991115,0.35912459243239614,0.08772285015045751,597,756
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Activity,-0.0020219550652076923,0.4432629290213063,-0.002409549313003856,266,903
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,DLG4_RAT_McLaughlin_2012,DLG4_RAT,Binding,-0.04979541568247858,0.22160380559837284,-0.00836583571356439,354,1222
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,OrganismalFitness,-0.03570714381054657,0.03797442761584372,0.004712275556311152,611,2305
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,DYR_ECOLI_Thompson_2019,DYR_ECOLI,OrganismalFitness,0.006317318870753236,0.01,-0.030450081324131517,721,1642
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Activity,-0.021092965076886516,0.9,-0.017979443758469466,402,719
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,OrganismalFitness,-0.7746539639156781,0.9,0.10064719673433867,266,109
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,OrganismalFitness,-0.026496968793644493,0.16351749510860744,0.005768855281608885,2,78
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,GAL4_YEAST_Kitzman_2015,GAL4_YEAST,OrganismalFitness,0.007447322283494314,0.01,-0.06841951707784122,364,831
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Activity,0.0022394155254646456,0.01,-0.08057333620219877,91,993
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,GRB2_HUMAN_Faure_2021,GRB2_HUMAN,OrganismalFitness,0.07664999257407544,0.01,-0.16717180505732382,336,698
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Stability,0.1526428683876412,0.01,-0.4237135480858938,625,619
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,OrganismalFitness,-0.17922846443350515,0.9,0.007183838394420994,6,162
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,HSP82_YEAST_Flynn_2019,HSP82_YEAST,OrganismalFitness,-0.13102157913462809,0.9,-0.007283314658499705,3268,10026
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,HSP82_YEAST_Mishra_2016,HSP82_YEAST,OrganismalFitness,-0.014361676933426493,0.9,-0.09106222795177592,735,3588
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,Expression,0.0016667038040701961,0.01,-0.02764703720179079,2629,5767
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,IF1_ECOLI_Kelsic_2016,IF1_ECOLI,OrganismalFitness,0.007362895495723998,0.01,-0.013021089369204486,414,953
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Stability,-0.11738362339070563,0.37673889382666215,0.03168493759566761,322,1007
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Expression,-0.04767165233778298,0.36818301676131415,-0.006855806435348135,529,1810
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,OrganismalFitness,-0.01750833806160146,0.5334420787552325,0.0015833667474096091,1770,3190
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Stability,-0.03110026945241584,0.09606743540625391,0.002729086125319302,288,474
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,MET_HUMAN_Estevam_2023,MET_HUMAN,Activity,-0.05489117006591099,0.01,-0.01626887480060124,2108,3285
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,MSH2_HUMAN_Jia_2020,MSH2_HUMAN,OrganismalFitness,-0.12520642329420673,0.2395066655916507,0.023541142121126013,2346,14403
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,OrganismalFitness,-0.1030009898029296,0.7339944400683438,-0.01438908709457043,452,1325
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Stability,-0.009446885200775856,0.1366385733332265,-0.01220149791344216,434,513
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Stability,0.04568218558790255,0.01,-0.25914785547099095,494,655
